strategy,metric,mean,stddev,sample_count
original,pawc,7.261246666666667,12.9457427281198,15
original,word_score,9.790513333333333,16.708713462992325,15
original,position_score,7.383946666666666,12.477942453263372,15
original,subjective_relevance_calibrated,7.14117681649252,17.967087390987537,15
original,subjective_influence_calibrated,5.745802286916283,20.319000592253893,15
original,subjective_uniqueness_calibrated,6.15617699763554,17.00948112024238,15
original,subjective_diversity_calibrated,7.223356656826688,17.384647840121673,15
original,subjective_follow_up_calibrated,10.509985238906756,19.400391533828245,15
original,subjective_impression_calibrated,7.298605257300178,16.906260222540116,15
statistics,pawc,8.777626666666666,12.340870855845898,15
statistics,word_score,11.607306666666666,15.915752551413004,15
statistics,position_score,7.974926666666667,11.845918130820221,15
statistics,subjective_relevance_calibrated,11.996419540017051,19.129103524925096,15
statistics,subjective_influence_calibrated,14.117618066388127,18.74515786174014,15
statistics,subjective_uniqueness_calibrated,8.923587405594652,19.975707006969028,15
statistics,subjective_diversity_calibrated,11.236555417593532,15.97973366181463,15
statistics,subjective_follow_up_calibrated,11.175280647451569,19.52393756726386,15
statistics,subjective_impression_calibrated,11.21411260699188,18.073967752160062,15
easy_to_understand,pawc,8.583066666666667,13.473030584927095,15
easy_to_understand,word_score,11.4579,18.14368916888577,15
easy_to_understand,position_score,8.067779999999999,12.513363226920934,15
easy_to_understand,subjective_relevance_calibrated,11.865461211571125,13.281511793361192,15
easy_to_understand,subjective_influence_calibrated,7.020598881252011,18.574885626733785,15
easy_to_understand,subjective_uniqueness_calibrated,4.891807746182598,21.068199324663905,15
easy_to_understand,subjective_diversity_calibrated,13.016200885675847,14.777404761256975,15
easy_to_understand,subjective_follow_up_calibrated,12.800756961978607,17.713145801985668,15
easy_to_understand,subjective_impression_calibrated,8.96435901317508,15.28633879955179,15
citation,pawc,15.150860000000002,13.924410660357792,15
citation,word_score,18.063873333333333,16.679406297264844,15
citation,position_score,16.151286666666667,13.979911693818112,15
citation,subjective_relevance_calibrated,4.482073329564015,18.167302399068497,15
citation,subjective_influence_calibrated,9.21060681352874,13.363654800744126,15
citation,subjective_uniqueness_calibrated,16.020162371997674,14.174930936165687,15
citation,subjective_diversity_calibrated,6.150294251973612,11.329927512896166,15
citation,subjective_follow_up_calibrated,1.9145955599688915,20.92667649423535,15
citation,subjective_impression_calibrated,8.015677929648362,12.84176308182382,15
authoritative,pawc,13.336746666666668,15.683378948831999,15
authoritative,word_score,15.481286666666666,18.963663085334943,15
authoritative,position_score,12.818120000000002,14.426244174331327,15
authoritative,subjective_relevance_calibrated,12.74314747648441,16.606131194221252,15
authoritative,subjective_influence_calibrated,14.457973369230606,12.988263256816706,15
authoritative,subjective_uniqueness_calibrated,12.037325400199633,17.150140084262276,15
authoritative,subjective_diversity_calibrated,14.213337431174871,19.823605563458237,15
authoritative,subjective_follow_up_calibrated,13.67745947526199,14.794766082178942,15
authoritative,subjective_impression_calibrated,13.934173395963393,13.614774150224296,15
quotation,pawc,11.89942,12.068005123536958,15
quotation,word_score,16.01948,16.01917269511756,15
quotation,position_score,11.835073333333334,11.590990185328472,15
quotation,subjective_relevance_calibrated,17.026996185052703,18.763239594031806,15
quotation,subjective_influence_calibrated,16.03256333347697,16.551917745737146,15
quotation,subjective_uniqueness_calibrated,14.435573841051871,18.480630392445434,15
quotation,subjective_diversity_calibrated,15.450916871551454,21.68867441807851,15
quotation,subjective_follow_up_calibrated,17.888075403740448,16.97973893323126,15
quotation,subjective_impression_calibrated,16.65480709435866,16.863979781555,15
fluency,pawc,24.912966666666666,35.61700433353763,15
fluency,word_score,25.89654,35.6815142875291,15
fluency,position_score,25.36017333333333,35.447943038922105,15
fluency,subjective_relevance_calibrated,17.473024810813243,17.90219988757997,15
fluency,subjective_influence_calibrated,19.751365559446604,12.193809344006109,15
fluency,subjective_uniqueness_calibrated,15.198183876829626,19.4809637200117,15
fluency,subjective_diversity_calibrated,17.315646289073918,23.644863306948757,15
fluency,subjective_follow_up_calibrated,14.957284714352623,15.790746569628453,15
fluency,subjective_impression_calibrated,17.75679357377145,15.762906820898348,15
unique_words,pawc,8.848146666666668,12.51495411485605,15
unique_words,word_score,11.865846666666666,16.130977962819003,15
unique_words,position_score,8.058453333333333,11.38887560697886,15
unique_words,subjective_relevance_calibrated,8.79177172336341,16.054441686758373,15
unique_words,subjective_influence_calibrated,10.95027408313131,14.94569505925511,15
unique_words,subjective_uniqueness_calibrated,11.964111713144712,15.691971098336452,15
unique_words,subjective_diversity_calibrated,8.907172554141209,16.08340451847544,15
unique_words,subjective_follow_up_calibrated,8.892693785143766,14.050365838491713,15
unique_words,subjective_impression_calibrated,9.750486090655665,14.165084929699754,15
technical_terms,pawc,3.763793333333333,6.178669246628929,15
technical_terms,word_score,4.981706666666666,8.280817234382008,15
technical_terms,position_score,9.249319999999999,11.968196336075755,15
technical_terms,subjective_relevance_calibrated,10.572160112922926,15.527396940538557,15
technical_terms,subjective_influence_calibrated,8.144358953423826,18.561379669251053,15
technical_terms,subjective_uniqueness_calibrated,11.39343613469638,15.681797184618393,15
technical_terms,subjective_diversity_calibrated,8.129317898573165,12.78622683923415,15
technical_terms,subjective_follow_up_calibrated,8.48281279553429,11.475384506970803,15
technical_terms,subjective_impression_calibrated,9.395837412655395,13.251589025541879,15
keyword_stuffing,pawc,12.299833333333332,18.183718302790496,15
keyword_stuffing,word_score,16.24868,22.894326254841893,15
keyword_stuffing,position_score,13.218313333333334,19.076925958896997,15
keyword_stuffing,subjective_relevance_calibrated,12.741475460385338,20.036965073516487,15
keyword_stuffing,subjective_influence_calibrated,9.402545319872129,23.705025492112654,15
keyword_stuffing,subjective_uniqueness_calibrated,13.81334117933404,14.945448854240562,15
keyword_stuffing,subjective_diversity_calibrated,13.190908410082317,17.75894182873824,15
keyword_stuffing,subjective_follow_up_calibrated,14.534762084327443,20.385924109273876,15
keyword_stuffing,subjective_impression_calibrated,11.848854292146557,18.597071792291736,15
